"Regions","CATEGORY","ITEM","UNIT","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa"
"Markets","CATEGORY","ITEM","UNIT","Mota","Debre- markos ","Dembecha","Bahir- Dar ","Sekota","Amde Work ","Danigla","Chagni","Kemise","Bati"
"7","DIARY PRODUCTS AND EGG","Camel Milk","Lt ","-","-","-","-","-","-","-","-","-","-"
"8","DIARY PRODUCTS AND EGG","Goat Milk","Lt ","-","-","-","-","-","-","-","-","-","-"
"9","DIARY PRODUCTS AND EGG","Powdered Milk (Me&My)","450gm ","142.48","107.92","123.75","133.10","101.10","112.50","120.91","108.72","123.75","127.87"
"10","DIARY PRODUCTS AND EGG","Yoghurt (Traditional)","Lt ","10.42","15.15","12.12","13.33","20.00","15.63","12.12","22.22","21.20","16.58"
"11","DIARY PRODUCTS AND EGG","Cheese Cottage","Kg ","-","22.36","-","30.00","-","-","-","24.02","-","-"
"12","DIARY PRODUCTS AND EGG","Egg (Traditional)","Dozen ","21.60","24.00","24.00","27.60","20.39","15.00","24.00","30.00","26.40","24.00"
"13","OILS AND FATS","Butter Unrefined","Kg ","120.00","148.31","130.00","120.00","127.14","131.84","86.64","110.00","180.00","195.64"
"14","OILS AND FATS","Cooking Oil (Imported)","Lt ","24.83","25.00","24.80","24.30","24.93","25.00","24.17","25.00","23.67","23.44"
"15","OILS AND FATS","Cooking Oil (Local)","Lt ","41.32","42.62","30.00","40.00","-","-","38.00","-","-","-"
"16","OILS AND FATS","Vegetable Butter(Sheno & Shady)","Kg ","-","90.36","-","93.69","93.88","-","91.62","93.88","94.44","103.67"
"1","VEGETABLES (FRESH)","Ethiopian Kale","Kg ","-","-","-","2.56","-","-","2.08","-","-","4.03"
"2","VEGETABLES (FRESH)","Cabbage","Kg ","5.37","3.93","2.77","4.00","4.38","5.25","2.32","7.00","-","3.85"
