"Regions","CATEGORY","ITEM","UNIT","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA"
"Markets","CATEGORY","ITEM","UNIT","Nazareth","Shashe-","Diksise","Asella","Asebe- Teferi ","Bedessa","Alemaya","Boreda","Adaba","Robe","Hagere- Mariam ","Negele- Borena "
"5","DIARY PRODUCTS AND EGG","Cow Milk (Unpasteurized)","Lt ","14.00","11.66","12.00","9.32","15.19","13.46","14.89","11.71","15.00","7.13","11.99","11.11"
"6","DIARY PRODUCTS AND EGG","Cow Milk (pasteurized)","Lt ","20.00","24.00","-","20.00","-","-","35.32","-","-","-","-","-"
"7","DIARY PRODUCTS AND EGG","Camel Milk","Lt ","-","-","-","-","11.54","-","-","-","-","-","-","8.11"
"8","DIARY PRODUCTS AND EGG","Goat Milk","Lt ","-","-","-","-","-","-","-","-","-","-","-","-"
"9","DIARY PRODUCTS AND EGG","Powdered Milk (Me&My)","450gm ","106.88","-","-","131.14","130.13","146.25","-","-","112.50","123.75","100.48","131.23"
"10","DIARY PRODUCTS AND EGG","Yoghurt (Traditional)","Lt ","26.60","20.00","-","28.00","28.31","27.78","-","-","34.80","17.12","27.03","26.10"
"11","DIARY PRODUCTS AND EGG","Cheese Cottage","Kg ","56.62","38.26","14.74","27.94","-","-","-","-","11.71","17.10","-","21.09"
"12","DIARY PRODUCTS AND EGG","Egg (Traditional)","Dozen ","24.00","26.40","23.17","30.00","28.96","24.00","31.97","24.00","24.00","24.00","30.00","24.96"
"13","OILS AND FATS","Butter Unrefined","Kg ","146.59","140.00","104.83","120.00","151.83","133.25","150.00","140.61","130.00","131.65","130.00","133.54"
"14","OILS AND FATS","Cooking Oil (Imported)","Lt ","25.33","26.00","24.21","27.77","27.00","27.33","30.55","28.33","25.00","24.67","28.55","27.21"
"15","OILS AND FATS","Cooking Oil (Local)","Lt ","35.00","33.33","27.66","30.00","-","35.66","-","-","30.65","34.66","-","-"
"16","OILS AND FATS","Vegetable Butter(Sheno & Shady)","Kg ","92.55","93.69","-","90.70","85.14","88.89","70.32","77.78","99.25","91.62","81.63","85.00"
"1","VEGETABLES (FRESH)","Ethiopian Kale","Kg ","5.00","3.58","2.18","2.50","2.15","1.29","2.05","5.92","4.57","2.15","9.06","-"
"2","VEGETABLES (FRESH)","Cabbage","Kg ","6.32","2.39","2.22","4.14","4.45","4.52","6.02","-","4.35","2.12","10.49","7.95"
"3","VEGETABLES (FRESH)","Lettuce","Kg ","15.66","16.67","-","6.68","8.00","-","9.09","-","8.56","-","-","-"
"4","VEGETABLES (FRESH)","Spinach","Kg ","7.65","7.43","-","6.60","-","2.58","1.51","-","3.01","3.84","-","-"
"5","VEGETABLES (FRESH)","Carrot","Kg ","14.66","3.00","2.31","4.00","10.09","11.12","4.62","-","4.19","3.75","7.00","12.00"
"6","VEGETABLES (FRESH)","Tomatoes","Kg ","21.63","23.96","22.57","20.00","16.59","7.11","24.33","14.64","24.44","25.00","22.33","18.00"
"7","VEGETABLES (FRESH)","Onions","Kg ","10.66","11.00","12.10","10.00","10.73","12.39","13.66","14.66","9.59","12.00","10.97","-"
"8","VEGETABLES (FRESH)","Garlics","Kg ","21.31","20.00","12.20","28.58","27.95","20.00","21.54","20.17","26.27","19.14","22.33","30.00"
"9","VEGETABLES (FRESH)","Leaks","Kg ","15.98","14.00","12.00","12.00","-","-","9.39","-","-","-","-","14.00"
"10","VEGETABLES (FRESH)","Pepper Green","Kg ","18.98","13.98","16.70","15.80","21.00","14.39","11.74","10.46","18.82","17.25","19.49","30.00"
"11","VEGETABLES (FRESH)","Pumpkin  ","Kg ","2.31","-","-","1.56","3.12","2.16","-","-","-","1.70","-","6.06"
"12","VEGETABLES (FRESH)","Green Peas","Kg ","8.49","15.66","-","20.00","-","-","-","-","15.50","-","-","-"
"13","VEGETABLES (FRESH)","Beet Root","Kg ","7.49","3.00","3.28","4.00","5.77","5.11","4.57","4.31","2.28","-","-","10.00"
"14","VEGETABLES (FRESH)","Cauliflower","Kg ","17.66","15.00","-","-","-","-","-","-","9.91","-","-","-"
"15","FRUITS FRESH","Banana","Kg ","12.00","10.00","12.00","12.00","7.46","4.56","12.66","-","10.32","12.00","14.31","17.66"
