"Regions","CATEGORY","ITEM","UNIT","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS"
"Markets","CATEGORY","ITEM","UNIT","Merkato","Kera","Zenebe work ","Gergi","Saris","Kotebe","Ferensay Legasion ","Shola","Asko","Addisu- Gebeya ","Efoyita Gebeya ","Akaki"
"7","OIL SEEDS","Sesame Seed Red","Kg ","-","-","-","40.00","-","40.00","35.00","35.00","37.42","34.50","36.65","35.00"
"8","OIL SEEDS","Sunflower","Kg ","12.97","13.83","14.00","14.00","13.66","12.63","12.00","14.00","14.33","14.00","10.66","12.66"
"9","OIL SEEDS","Castor Beans","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"10","OIL SEEDS","Rape Seed","Kg ","12.32","13.66","12.63","14.00","13.66","12.66","10.97","15.00","12.63","14.00","11.32","13.33"
"11","OIL SEEDS","Ground Nut Shelled","Kg ","23.66","25.00","22.00","25.00","24.66","24.00","22.00","26.00","25.33","26.00","22.33","25.00"
"12","PREPARED CEREAL PRODUCTS","Spaghetti (Local) Without Egg","Kg ","27.32","26.65","27.33","28.00","27.66","27.00","27.33","26.00","28.00","27.33","26.66","28.00"
"13","PREPARED CEREAL PRODUCTS","Pastini","Kg ","26.00","26.00","25.32","26.00","26.65","26.00","26.65","16.38","26.33","26.65","24.99","28.00"
"14","PREPARED CEREAL PRODUCTS","Macaroni (Local) Without Egg","Kg ","16.33","16.00","16.00","16.00","16.33","16.00","16.00","15.16","16.00","16.00","16.83","16.66"
"15","PREPARED CEREAL PRODUCTS","'Fafa' Flour","kg ","34.99","-","-","-","33.32","32.98","32.00","38.00","40.00","35.78","-","34.00"
"16","PREPARED CEREAL PRODUCTS","'Dube' Flour","kg ","-","-","-","-","-","-","23.00","-","-","-","-","-"
"17","BREAD AND OTHER PREPARED FOODS","'Enjera' ('Teff' Mixed)","325gm ","-","-","-","4.88","-","4.12","3.78","3.34","-","-","-","-"
"18","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Ambasha)","350gm ","4.97","3.79","6.40","6.50","6.88","6.60","5.51","5.12","3.99","6.58","6.42","5.85"
"19","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Sheleto)","350gm ","-","-","-","-","-","4.52","-","-","-","-","-","-"
"20","BREAD AND OTHER PREPARED FOODS","Bread Wheat (Bakery)","350gm ","3.88","4.23","4.36","4.10","4.16","3.94","4.03","4.04","4.03","4.04","3.79","4.03"
"21","BREAD AND OTHER PREPARED FOODS","Biscuits ","150gm ","4.29","4.29","4.29","5.36","4.29","4.29","4.29","4.29","4.29","4.29","4.29","4.29"
"1","MEAT","Beef ","Kg ","106.56","92.83","100.00","120.00","100.00","80.00","106.56","110.00","106.56","110.00","100.00","100.00"
"2","MEAT","Camel Meat ","Kg ","-","-","-","120.00","-","-","-","-","-","-","-","-"
"3","FISH AND FISH PRODUCTS","Fish Fresh","Kg ","46.00","46.00","-","35.00","40.12","-","-","-","-","35.00","-","-"
"4","FISH AND FISH PRODUCTS","Sardines (Imported)","125gm ","25.66","26.00","27.50","28.00","28.65","-","27.33","27.66","27.33","27.66","25.33","-"
"5","DIARY PRODUCTS AND EGG","Cow Milk (Unpasteurized)","Lt ","16.00","14.33","16.00","16.00","-","-","15.00","-","-","-","14.33","12.00"
"6","DIARY PRODUCTS AND EGG","Cow Milk (pasteurized)","Lt ","20.00","22.00","20.00","20.00","20.00","21.31","20.00","22.00","20.00","22.00","22.00","20.00"
"7","DIARY PRODUCTS AND EGG","Camel Milk","Lt ","-","-","-","24.00","-","-","-","-","-","-","-","-"
"8","DIARY PRODUCTS AND EGG","Goat Milk","Lt ","-","-","-","-","-","-","-","-","-","-","-","-"
"9","DIARY PRODUCTS AND EGG","Powdered Milk (Me&My)","450gm ","90.00","105.18","95.63","101.25","104.97","98.40","-","-","-","-","-","-"
"10","DIARY PRODUCTS AND EGG","Yoghurt (Traditional)","Lt ","16.00","15.66","16.64","24.00","-","14.00","15.00","-","-","-","12.00","22.31"
"11","DIARY PRODUCTS AND EGG","Cheese Cottage","Kg ","56.62","58.28","50.00","60.00","59.70","41.59","50.98","60.00","43.09","53.28","56.46","38.55"
"12","DIARY PRODUCTS AND EGG","Egg (Traditional)","Dozen ","30.00","32.39","30.39","33.60","-","30.00","31.20","30.00","30.79","32.60","30.00","30.00"
"13","OILS AND FATS","Butter Unrefined","Kg ","140.00","153.26","145.00","150.00","145.00","160.00","150.00","160.00","146.59","138.31","160.00","141.65"
"14","OILS AND FATS","Cooking Oil (Imported)","Lt ","23.00","23.00","23.00","23.00","23.00","23.00","23.00","23.00","23.00","23.00","23.00","23.00"
"15","OILS AND FATS","Cooking Oil (Local)","Lt ","42.00","46.32","42.66","44.00","44.66","44.00","44.66","45.32","46.66","45.32","47.32","44.66"
"16","OILS AND FATS","Vegetable Butter(Sheno & Shady)","Kg ","87.40","86.67","88.89","95.56","88.89","88.89","88.89","88.14","92.95","88.89","91.09","92.55"
