"Regions","CATEGORY","ITEM","UNIT","GAMBELLA","GAMBELLA","GAMBELLA","DIREDAWA","DIREDAWA"
"Markets","CATEGORY","ITEM","UNIT","Gambella","Shebo- kire ","Meti","Dire Dawa ","Melka- Jebdu "
"4","VEGETABLES (FRESH)","Spinach","Kg ","-","-","-","5.01","4.34"
"5","VEGETABLES (FRESH)","Carrot","Kg ","16.64","-","-","8.41","7.00"
"6","VEGETABLES (FRESH)","Tomatoes","Kg ","30.00","-","10.87","24.32","25.00"
"7","VEGETABLES (FRESH)","Onions","Kg ","-","-","12.41","13.95","12.00"
"8","VEGETABLES (FRESH)","Garlics","Kg ","26.57","30.00","19.64","19.31","21.31"
"9","VEGETABLES (FRESH)","Leaks","Kg ","16.00","15.33","-","9.83","12.11"
"10","VEGETABLES (FRESH)","Pepper Green","Kg ","28.23","16.33","13.07","16.80","20.00"
"11","VEGETABLES (FRESH)","Pumpkin  ","Kg ","3.82","-","3.14","-","-"
"12","VEGETABLES (FRESH)","Green Peas","Kg ","25.00","-","-","28.23","15.00"
"13","VEGETABLES (FRESH)","Beet Root","Kg ","10.00","13.00","4.84","9.12","5.00"
"14","VEGETABLES (FRESH)","Cauliflower","Kg ","-","-","-","40.00","-"
"15","FRUITS FRESH","Banana","Kg ","16.00","-","3.70","11.31","15.00"
"16","FRUITS FRESH","Orange","Kg ","24.65","-","4.63","20.00","25.00"
"17","FRUITS FRESH","Lemon","Kg ","25.00","-","-","20.40","20.00"
"18","FRUITS FRESH","Tangerine","Kg ","-","-","-","-","-"
"19","FRUITS FRESH","Papaya","Kg ","7.80","-","2.13","14.66","20.00"
"20","FRUITS FRESH","Grapes","Kg ","-","-","-","-","-"
"21","FRUITS FRESH","Avocado","Kg ","26.00","-","3.77","13.33","15.00"
"22","FRUITS FRESH","Mango","Kg ","-","-","-","9.76","20.00"
"23","FRUITS FRESH","Cactus","Kg ","-","-","-","4.98","-"
"1","SPICES","Pepper Whole","Kg ","-","-","37.00","32.79","35.00"
"2","SPICES","Black Pepper(Local)","Kg ","-","-","-","236.33","210.00"
"3","SPICES","Long Pepper(Local)","Kg ","-","-","-","81.63","72.00"
"4","SPICES","White Cumin(Bishop's Weed)Local","Kg ","55.00","60.00","-","40.00","33.97"
"5","SPICES","Black Cumin(Local)","Kg ","40.00","60.00","40.00","40.00","35.00"
"6","SPICES","Ginger Dry(Local)","Kg ","-","-","-","31.47","28.65"
"7","SPICES","Ginger Wet(Local)","Kg ","19.31","20.00","4.12","12.10","20.00"
"8","SPICES","Cloves(Imported)","Kg ","-","-","-","329.90","320.00"
"9","SPICES","Cinnamon(Imported)","Kg ","-","-","-","69.88","68.00"
"10","SPICES","Cardamon(Local)","Kg ","120.00","-","-","113.71","118.65"
"11","SPICES","Tumeric Flour(Local)","Kg ","-","-","2.50","34.64","29.32"
"12","SPICES","Chillies Whole","Kg ","166.67","-","-","50.44","50.00"
"13","SPICES","Basil Dry","Kg ","40.00","50.00","18.64","33.25","36.59"
"14","POTATOES, OTHER TUBERS AND STEMS","Potato","Kg ","10.00","10.00","3.99","5.22","5.00"
"15","POTATOES, OTHER TUBERS AND STEMS","Sweet Potato","Kg ","-","-","2.91","-","4.58"
"16","POTATOES, OTHER TUBERS AND STEMS","'Kocho' (Unprocessed)","Kg ","-","-","7.94","-","27.00"
"17","POTATOES, OTHER TUBERS AND STEMS","'Bula'","Kg ","-","-","15.01","30.00","35.00"
"18","POTATOES, OTHER TUBERS AND STEMS","Tea Leaves(Local)","100gm ","10.00","10.00","10.00","11.43","10.40"
"19","POTATOES, OTHER TUBERS AND STEMS","Coffee Whole","Kg ","-","-","18.00","-","-"
"20","POTATOES, OTHER TUBERS AND STEMS","Coffee Beans","Kg ","50.00","60.00","45.00","118.27","120.00"
"21","POTATOES, OTHER TUBERS AND STEMS","Coffee Leaves","Kg ","-","-","-","100.34","25.00"
"22","POTATOES, OTHER TUBERS AND STEMS","Buck Thorn Leaves","Kg ","25.13","27.66","14.08","13.16","17.98"
"23","POTATOES, OTHER TUBERS AND STEMS","'Chat'","Kg ","69.31","122.12","35.15","51.51","-"
"1","P R I C E   I N    B I R R","Malt-Barley","Kg ","-","-","14.71","15.33","20.00"
"2","P R I C E   I N    B I R R","Malt-Wheat","Kg ","-","-","14.71","13.66","-"
"3","OTHER FOOD ITEMS","Salt","Kg ","7.00","6.65","6.00","5.28","5.00"
"4","OTHER FOOD ITEMS","Sugar","Kg ","15.50","18.00","-","15.74","-"
"5","OTHER FOOD ITEMS","Honey","Kg ","-","-","60.00","91.88","100.00"
"6","OTHER FOOD ITEMS","Canned Tomato (Local)","410gm ","25.65","22.66","-","22.33","23.33"
"7","OTHER FOOD ITEMS","Dry Yeast(Baking powder)","350gm ","140.00","-","140.00","90.20","105.00"
"8","FOOD TAKEN AWAY FROM HOME","Cup of Tea","No ","1.31","1.00","1.00","2.62","2.29"
"9","FOOD TAKEN AWAY FROM HOME","Cup of Coffee","No ","3.00","3.00","2.00","5.00","5.00"
"10","FOOD TAKEN AWAY FROM HOME","Cup of Milk","No ","5.00","4.00","5.00","5.00","6.00"
"11","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebere'","One Meal ","20.00","20.00","-","26.17","32.93"
"12","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebeg/Yefyel'","One Meal ","-","-","20.00","25.37","-"
"13","FOOD TAKEN AWAY FROM HOME","'Yebeg Tibs'","One Meal ","31.58","30.00","26.57","39.59","41.25"
"14","FOOD TAKEN AWAY FROM HOME","'Fasting Meal Without fish","One Meal ","12.00","11.29","10.00","21.44","22.66"
"15","FOOD TAKEN AWAY FROM HOME","'Yebeg Kikil'","One Meal ","23.96","-","25.00","26.17","32.57"
"16","COST OF MILLING","Cereals","100Kg ","30.00","-","35.00","30.64","40.00"
"17","COST OF MILLING","Pulses","100Kg ","-","50.00","50.00","38.47","40.00"
"18","COST OF MILLING","Pepper Whole","100Kg ","-","-","109.77","152.66","150.00"
"1","BEVERAGES - NON ALCOHOLIC","Ambo Mineral Water","500cc ","8.00","-","10.00","7.48","5.00"
"2","BEVERAGES - NON ALCOHOLIC","Mineral Water","Lt ","10.00","11.66","10.00","9.74","8.00"
"3","BEVERAGES - NON ALCOHOLIC","Coca Cola/Fanta","300cc ","8.00","8.00","8.00","7.46","6.00"
"4","BEVERAGES - NON ALCOHOLIC","Pepsi Cola/Mirinda","300cc ","8.00","8.00","8.00","7.46","6.00"
"5","BEVERAGES - ALCOHOLIC","Araki (Local)","900cc ","45.00","50.00","-","74.47","71.63"
"6","BEVERAGES - ALCOHOLIC","Cognac (Local)","900cc ","115.00","-","-","-","-"
"7","BEVERAGES - ALCOHOLIC","Brandy (Local)","900cc ","96.00","-","-","-","-"
"8","BEVERAGES - ALCOHOLIC","Gin (Local)","900cc ","96.00","-","93.22","74.47","75.00"
"9","BEVERAGES - ALCOHOLIC","Saris Wine (Normal)","750cc ","50.00","-","-","44.30","40.00"
"10","BEVERAGES - ALCOHOLIC","'Katikalla'","Lt ","33.71","30.00","-","27.47","36.94"
"11","BEVERAGES - ALCOHOLIC","Beer (Bedele)","330cc ","10.00","10.00","10.00","-","-"
"12","BEVERAGES - ALCOHOLIC","Beer (Harar)","330cc ","-","-","-","10.31","11.00"
"13","BEVERAGES - ALCOHOLIC","Beer (Meta Abo)","330cc ","11.00","10.00","-","12.00","11.00"
"14","BEVERAGES - ALCOHOLIC","'Tella'","Lt ","4.71","4.71","3.00","3.44","4.82"
"15","BEVERAGES - ALCOHOLIC","'Tej' (Mead)","Lt ","11.24","-","10.63","6.67","5.52"
"16","CIGARETTES","Nyala","Packet ","10.00","13.00","10.00","9.83","10.00"
"17","CIGARETTES","Gissila","Packet ","-","-","-","-","-"
"18","CIGARETTES","Rothmans/England/","Packet ","-","-","-","30.00","30.00"
"19","CIGARETTES","Marlboro","Packet ","-","-","-","35.00","-"
"1","TOBACCO","'Gaya'","Kg ","81.09","-","-","-","-"
"2","CLOTHING","Abujedid(Akaki/Bahir Dar)91cm","Meter ","-","-","-","20.33","18.66"
"3","CLOTHING","Abujedid(Komb",")150cm Meter ","25.51","-","47.43","33.97","28.65"
"4","CLOTHING","Khaki(S-10,000 Twil)150cm","Meter ","-","-","-","-","70.00"
"5","CLOTHING","Khaki(Akaki)","Meter ","-","-","-","-","-"
"6","CLOTHING","Wool-England 100%","Meter ","-","-","-","-","-"
"7","CLOTHING","Tetron(A","Meter ","-","-","-","-","-"
"8","CLOTHING","Poplin(Dire Dawa)105cm","Meter ","-","-","-","29.96","24.49"
"9","CLOTHING","Poplin(Komb","Meter ","40.00","-","-","46.61","45.00"
"10","CLOTHING","Nylon(Mojo)","Meter ","40.00","-","-","-","-"
"11","CLOTHING","Polyster(Arba Minch/Awasa)","Meter ","-","-","-","-","75.00"
"12","CLOTHING","Jersi","Meter ","-","-","-","55.98","-"
"13","CLOTHING","Cotton","Kg ","-","-","-","-","-"
"14","CLOTHING","Hisufi ","Meter ","-","-","-","68.29","-"
"15","CLOTHING","Kefai","Meter ","-","-","-","-","-"
"16","CLOTHING","Kashemire","Meter ","-","-","-","57.45","-"
"17","CLOTHING","Deriya","Meter ","-","-","-","21.77","23.33"
