"Regions","CATEGORY","ITEM","UNIT","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA"
"Markets","CATEGORY","ITEM","UNIT","Chuahit","Gondar","Esete","Debre- Tabor ","Kobo","Weldiya","Kombolcha","Dessie","Shewa- Robit ","Debre-¦"
"3","VEGETABLES (FRESH)","Lettuce","Kg ","-","7.32","-","4.82","17.19","9.25","8.00","6.39","18.79","5.11"
"4","VEGETABLES (FRESH)","Spinach","Kg ","-","4.06","1.34","3.63","7.70","7.10","4.56","3.78","-","3.27"
"5","VEGETABLES (FRESH)","Carrot","Kg ","-","8.32","-","10.00","7.24","6.65","4.54","5.77","12.97","5.00"
"6","VEGETABLES (FRESH)","Tomatoes","Kg ","-","-","12.00","14.00","11.29","14.98","12.45","18.98","20.00","20.00"
"7","VEGETABLES (FRESH)","Onions","Kg ","9.83","10.32","12.00","12.00","13.15","14.00","11.00","10.66","10.00","11.32"
"8","VEGETABLES (FRESH)","Garlics","Kg ","11.06","10.66","8.00","10.00","11.28","13.28","15.33","14.98","15.33","20.00"
"9","VEGETABLES (FRESH)","Leaks","Kg ","-","-","-","-","-","-","-","-","-","-"
"10","VEGETABLES (FRESH)","Pepper Green","Kg ","20.00","10.32","16.00","15.00","20.00","22.89","17.47","-","25.00","16.94"
"11","VEGETABLES (FRESH)","Pumpkin  ","Kg ","-","-","-","2.29","2.36","2.42","2.57","3.19","2.71","-"
"12","VEGETABLES (FRESH)","Green Peas","Kg ","-","-","-","-","-","-","-","-","-","-"
"13","VEGETABLES (FRESH)","Beet Root","Kg ","-","7.32","-","10.00","6.34","7.32","4.59","3.77","8.00","5.00"
"14","VEGETABLES (FRESH)","Cauliflower","Kg ","-","-","-","-","-","-","-","-","-","-"
"15","FRUITS FRESH","Banana","Kg ","15.00","14.00","-","15.00","14.00","12.00","13.00","12.00","10.00","12.00"
"16","FRUITS FRESH","Orange","Kg ","15.00","15.00","-","15.00","-","-","15.00","14.66","15.00","20.00"
"17","FRUITS FRESH","Lemon","Kg ","12.16","6.28","-","11.18","24.04","21.54","15.33","6.28","6.78","9.84"
"18","FRUITS FRESH","Tangerine","Kg ","-","-","-","-","-","-","-","-","-","-"
"19","FRUITS FRESH","Papaya","Kg ","-","-","-","-","-","9.97","7.97","15.33","8.35","14.00"
"20","FRUITS FRESH","Grapes","Kg ","-","-","-","-","-","-","-","-","-","-"
"21","FRUITS FRESH","Avocado","Kg ","-","15.66","-","12.96","-","15.00","12.00","12.00","10.00","12.00"
"22","FRUITS FRESH","Mango","Kg ","10.00","14.00","-","12.00","15.00","15.00","15.00","12.00","13.33","12.00"
"23","FRUITS FRESH","Cactus","Kg ","-","-","-","-","2.89","7.19","-","12.18","-","-"
"1","SPICES","Pepper Whole","Kg ","37.00","35.00","25.00","25.00","35.00","41.60","34.66","35.33","45.00","36.00"
"2","SPICES","Black Pepper(Local)","Kg ","-","233.29","-","280.00","-","244.95","229.55","208.32","220.00","239.57"
"3","SPICES","Long Pepper(Local)","Kg ","73.48","66.63","70.00","76.52","67.64","67.64","-","67.64","62.93","74.83"
"4","SPICES","White Cumin(Bishop's Weed)Local","Kg ","-","25.65","30.00","23.21","25.00","39.32","30.11","29.32","23.31","34.76"
"5","SPICES","Black Cumin(Local)","Kg ","20.33","30.65","30.00","28.65","25.65","35.32","36.34","30.86","26.00","36.94"
"6","SPICES","Ginger Dry(Local)","Kg ","-","30.65","-","-","26.64","34.66","31.58","26.65","25.00","40.00"
"7","SPICES","Ginger Wet(Local)","Kg ","8.00","9.65","7.00","7.00","7.65","10.00","8.00","7.00","10.00","13.21"
"8","SPICES","Cloves(Imported)","Kg ","-","320.00","-","400.00","320.00","244.95","315.82","294.97","280.00","320.00"
"9","SPICES","Cinnamon(Imported)","Kg ","80.00","78.30","-","100.00","69.88","79.33","71.63","63.65","66.63","73.19"
"10","SPICES","Cardamon(Local)","Kg ","97.47","116.64","108.31","103.23","114.89","136.00","120.00","114.93","114.79","116.57"
"11","SPICES","Tumeric Flour(Local)","Kg ","12.00","10.00","10.00","10.00","15.00","19.93","22.36","18.29","11.29","-"
"12","SPICES","Chillies Whole","Kg ","-","30.00","-","-","-","52.68","34.00","43.04","43.36","40.00"
"13","SPICES","Basil Dry","Kg ","-","30.65","30.00","28.65","38.63","53.69","48.27","48.66","30.26","33.02"
"14","POTATOES, OTHER TUBERS AND STEMS","Potato","Kg ","5.00","5.00","3.00","5.00","10.00","7.65","7.70","7.32","6.00","4.00"
"15","POTATOES, OTHER TUBERS AND STEMS","Sweet Potato","Kg ","-","-","-","-","-","10.00","4.76","4.68","3.57","5.00"
"16","POTATOES, OTHER TUBERS AND STEMS","'Kocho' (Unprocessed)","Kg ","-","-","-","-","-","-","-","-","-","-"
"17","POTATOES, OTHER TUBERS AND STEMS","'Bula'","Kg ","-","-","-","-","-","-","-","-","-","-"
"18","POTATOES, OTHER TUBERS AND STEMS","Tea Leaves(Local)","100gm ","8.49","9.00","9.00","8.00","8.00","8.00","8.00","8.65","10.00","10.82"
"19","POTATOES, OTHER TUBERS AND STEMS","Coffee Whole","Kg ","-","-","-","-","-","-","44.45","-","-","-"
"20","POTATOES, OTHER TUBERS AND STEMS","Coffee Beans","Kg ","77.24","80.00","75.00","74.89","96.55","94.91","78.30","94.91","71.63","73.29"
"21","POTATOES, OTHER TUBERS AND STEMS","Coffee Leaves","Kg ","-","-","-","-","-","-","-","-","-","-"
"22","POTATOES, OTHER TUBERS AND STEMS","Buck Thorn Leaves","Kg ","20.95","23.96","31.46","21.42","19.26","25.82","21.64","27.36","29.13","42.32"
"23","POTATOES, OTHER TUBERS AND STEMS","'Chat'","Kg ","200.00","146.59","200.00","200.00","200.00","191.45","55.74","71.35","-","-"
"1","P R I C E   I N    B I R R","Malt-Barley","Kg ","-","-","10.28","10.17","18.85","15.74","-","13.94","13.42","10.69"
"2","P R I C E   I N    B I R R","Malt-Wheat","Kg ","15.38","14.00","11.03","13.87","-","14.52","26.34","22.77","-","-"
"3","OTHER FOOD ITEMS","Salt","Kg ","4.66","5.00","4.98","5.00","3.91","-","4.16","5.31","5.00","4.50"
"4","OTHER FOOD ITEMS","Sugar","Kg ","16.00","16.00","15.50","15.50","15.00","14.80","15.00","14.50","15.00","14.50"
"5","OTHER FOOD ITEMS","Honey","Kg ","40.66","51.61","40.00","55.00","100.00","61.62","106.56","104.92","121.64","-"
"6","OTHER FOOD ITEMS","Canned Tomato (Local)","410gm ","-","21.71","-","22.00","23.96","25.66","-","23.99","22.00","-"
"7","OTHER FOOD ITEMS","Dry Yeast(Baking powder)","350gm ","105.00","105.00","-","85.73","70.00","80.13","75.41","105.00","-","72.92"
"8","FOOD TAKEN AWAY FROM HOME","Cup of Tea","No ","1.00","2.66","1.00","1.65","1.83","1.65","2.00","2.56","2.00","1.91"
"9","FOOD TAKEN AWAY FROM HOME","Cup of Coffee","No ","3.00","4.95","3.00","4.00","3.64","3.32","4.00","5.08","4.00","4.16"
"10","FOOD TAKEN AWAY FROM HOME","Cup of Milk","No ","3.00","4.95","-","4.00","3.71","4.31","5.31","6.08","5.65","4.86"
"11","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebere'","One Meal ","-","-","-","20.00","25.00","24.31","26.33","19.98","-","-"
"12","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebeg/Yefyel'","One Meal ","22.00","26.64","20.00","20.00","25.90","25.00","31.58","35.88","25.00","25.65"
"13","FOOD TAKEN AWAY FROM HOME","'Yebeg Tibs'","One Meal ","25.00","31.93","26.66","25.61","29.96","29.32","41.60","41.60","35.00","30.65"
"14","FOOD TAKEN AWAY FROM HOME","'Fasting Meal Without fish","One Meal ","15.00","24.31","12.66","14.66","16.62","14.66","18.90","25.25","19.31","21.54"
"15","FOOD TAKEN AWAY FROM HOME","'Yebeg Kikil'","One Meal ","-","26.64","-","23.30","25.62","23.99","31.58","29.66","25.00","28.23"
"16","COST OF MILLING","Cereals","100Kg ","40.00","40.00","25.00","30.00","30.00","20.00","20.00","30.00","25.00","20.00"
"17","COST OF MILLING","Pulses","100Kg ","25.00","40.00","25.00","30.00","75.00","50.00","36.34","-","50.00","33.02"
"18","COST OF MILLING","Pepper Whole","100Kg ","-","200.00","150.00","150.00","200.00","100.00","141.16","200.00","300.00","107.72"
"1","BEVERAGES - NON ALCOHOLIC","Ambo Mineral Water","500cc ","8.00","7.32","8.00","7.83","-","7.32","6.65","8.00","8.00","6.65"
"2","BEVERAGES - NON ALCOHOLIC","Mineral Water","Lt ","10.32","10.00","9.65","9.65","7.47","6.40","6.92","6.15","8.32","8.32"
"3","BEVERAGES - NON ALCOHOLIC","Coca Cola/Fanta","300cc ","9.00","7.32","8.00","8.00","7.65","8.00","8.00","8.00","8.00","6.65"
"4","BEVERAGES - NON ALCOHOLIC","Pepsi Cola/Mirinda","300cc ","8.00","6.00","8.00","8.00","7.65","8.00","8.00","8.00","8.00","6.65"
"5","BEVERAGES - ALCOHOLIC","Araki (Local)","900cc ","-","-","-","70.00","67.45","70.00","77.46","76.99","62.45","72.11"
"6","BEVERAGES - ALCOHOLIC","Cognac (Local)","900cc ","-","70.00","-","-","-","73.19","-","70.66","60.00","72.11"
"7","BEVERAGES - ALCOHOLIC","Brandy (Local)","900cc ","-","70.00","-","-","-","-","-","-","60.00","72.11"
"8","BEVERAGES - ALCOHOLIC","Gin (Local)","900cc ","-","70.66","-","70.00","-","73.19","77.46","76.99","62.45","72.11"
"9","BEVERAGES - ALCOHOLIC","Saris Wine (Normal)","750cc ","50.00","38.31","58.28","40.00","-","49.32","48.54","66.63","47.43","44.99"
"10","BEVERAGES - ALCOHOLIC","'Katikalla'","Lt ","24.06","22.22","26.59","22.47","20.00","30.65","41.32","31.00","30.00","30.00"
"11","BEVERAGES - ALCOHOLIC","Beer (Bedele)","330cc ","10.00","-","-","-","-","10.00","-","-","-","-"
"12","BEVERAGES - ALCOHOLIC","Beer (Harar)","330cc ","-","-","-","-","-","10.00","12.00","13.00","11.66","11.00"
"13","BEVERAGES - ALCOHOLIC","Beer (Meta Abo)","330cc ","-","-","-","-","12.10","10.00","12.00","13.00","11.49","10.66"
"14","BEVERAGES - ALCOHOLIC","'Tella'","Lt ","2.99","3.02","3.01","3.06","3.32","3.13","3.75","3.13","3.53","4.00"
"15","BEVERAGES - ALCOHOLIC","'Tej' (Mead)","Lt ","22.22","16.67","-","16.85","13.69","7.32","12.98","8.32","10.18","12.50"
"16","CIGARETTES","Nyala","Packet ","10.00","11.29","10.00","12.00","10.00","10.00","10.00","-","10.00","10.63"
"17","CIGARETTES","Gissila","Packet ","-","-","-","-","-","-","-","-","-","-"
"18","CIGARETTES","Rothmans/England/","Packet ","40.00","40.00","-","-","-","36.59","30.00","32.99","30.00","35.00"
"19","CIGARETTES","Marlboro","Packet ","-","40.00","-","-","-","-","-","-","-","-"
"1","TOBACCO","'Gaya'","Kg ","-","-","-","-","-","57.74","135.72","76.63","-","-"
"2","CLOTHING","Abujedid(Akaki/Bahir Dar)91cm","Meter ","-","28.31","-","-","-","-","-","-","-","-"
"3","CLOTHING","Abujedid(Komb",")150cm Meter ","-","33.65","24.66","22.00","-","28.33","24.31","28.99","30.00","25.00"
"4","CLOTHING","Khaki(S-10,000 Twil)150cm","Meter ","-","-","-","-","-","80.00","63.48","69.98","-","-"
"5","CLOTHING","Khaki(Akaki)","Meter ","-","65.00","-","-","-","-","-","-","-","-"
"6","CLOTHING","Wool-England 100%","Meter ","-","-","-","-","-","-","-","760.82","-","-"
"7","CLOTHING","Tetron(A","Meter ","-","78.30","-","-","-","-","67.22","109.99","-","73.29"
"8","CLOTHING","Poplin(Dire Dawa)105cm","Meter ","-","-","-","-","-","-","-","-","40.00","-"
"9","CLOTHING","Poplin(Komb","Meter ","-","53.98","-","-","-","49.32","37.32","43.99","48.00","48.00"
"10","CLOTHING","Nylon(Mojo)","Meter ","-","30.00","-","-","40.00","28.31","25.96","29.64","-","27.33"
"11","CLOTHING","Polyster(Arba Minch/Awasa)","Meter ","-","-","-","-","-","-","-","-","-","-"
"12","CLOTHING","Jersi","Meter ","-","-","-","-","-","56.62","45.33","57.63","68.29","53.98"
"13","CLOTHING","Cotton","Kg ","15.33","20.00","26.33","26.00","40.00","35.33","30.65","37.33","22.98","-"
"14","CLOTHING","Hisufi ","Meter ","-","-","-","-","-","-","-","-","-","-"
"15","CLOTHING","Kefai","Meter ","-","-","-","-","-","-","128.31","167.65","-","-"
"16","CLOTHING","Kashemire","Meter ","-","-","-","-","-","-","-","62.63","-","55.00"
"17","CLOTHING","Deriya","Meter ","-","-","-","-","-","-","58.63","-","-","-"
"18","COST OF TAILORING","Woolen Suit (Men)","No ","-","600.00","-","700.00","-","548.48","548.48","564.62","600.00","450.00"
"19","COST OF TAILORING","Khaki/Teteron Suit (Men)","No ","-","300.00","-","-","200.00","282.31","236.33","209.84","265.66","-"
"20","COST OF TAILORING","Khaki/Teteron Suit (Boys)","No ","-","-","-","-","180.00","165.10","129.27","159.79","150.00","-"
"1","READY-MADE / FOR ADULTS","'Netela'","No ","125.33","118.31","134.94","141.65","143.01","154.32","-","136.53","-","200.00"
"2","READY-MADE / FOR ADULTS","'Gabi'","No ","254.97","243.29","264.97","283.29","295.95","308.64","226.62","254.97","364.69","400.00"
"3","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Local)","No ","130.00","-","-","-","140.00","-","-","-","-","-"
"4","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Imported)","No ","194.94","276.63","209.84","209.54","193.10","229.85","229.58","189.82","240.00","236.07"
"5","READY-MADE / FOR ADULTS","Shirts Short Sleeved (Imported)","No ","-","246.62","183.27","185.26","179.26","189.82","209.84","184.95","153.26","180.00"
"6","READY-MADE / FOR ADULTS","Socks (Cotton) Imported","Pair ","15.66","33.25","19.31","25.96","22.24","18.64","33.25","32.60","20.00","20.00"
"7","READY-MADE / FOR ADULTS","Sweater (Local) Men","No ","-","-","-","-","-","-","200.00","239.86","-","-"
"8","READY-MADE / FOR ADULTS","Sweater (Local) Women","No ","-","-","-","-","-","-","-","209.84","-","-"
"9","READY-MADE / FOR ADULTS","Shash (Imported)","No ","23.65","28.99","32.60","27.39","31.58","32.27","26.64","32.60","25.00","25.96"
"10","READY-MADE / FOR ADULTS","Singlets (Local) White","No ","44.81","-","72.64","75.00","-","-","-","-","-","-"
"11","READY-MADE / FOR ADULTS","Jeans Trouser","No ","-","469.78","429.92","432.67","429.77","459.93","389.74","446.49","470.00","365.93"
"12","READY-MADE / FOR ADULTS","Woolen Suit","No ","-","-","-","-","-","-","2700.00","2200.00","-","-"
"13","READY-MADE / FOR ADULTS","'Kemisna Netela'","No ","-","632.89","374.17","624.50","574.46","548.48","365.93","426.17","400.00","466.08"
