"Regions","CATEGORY","ITEM","UNIT","SOMALIE","SOMALIE","SOMALIE","SOMALIE","SOMALIE","SOMALIE"
"Markets","CATEGORY","ITEM","UNIT","Shinile","Arere","Jigjiga","Hartshek","Dolo","Moyale"
"3","VEGETABLES (FRESH)","Lettuce","Kg ","6.64","15.54","15.04","-","-","-"
"4","VEGETABLES (FRESH)","Spinach","Kg ","-","-","11.82","-","14.03","-"
"5","VEGETABLES (FRESH)","Carrot","Kg ","7.86","14.07","15.00","14.33","-","14.00"
"6","VEGETABLES (FRESH)","Tomatoes","Kg ","27.00","25.00","30.00","-","10.01","24.00"
"7","VEGETABLES (FRESH)","Onions","Kg ","12.66","10.00","18.00","19.31","14.33","15.00"
"8","VEGETABLES (FRESH)","Garlics","Kg ","23.21","30.00","25.65","30.00","50.00","25.00"
"9","VEGETABLES (FRESH)","Leaks","Kg ","12.98","23.83","12.00","15.00","-","-"
"10","VEGETABLES (FRESH)","Pepper Green","Kg ","20.00","10.00","20.00","25.00","30.08","25.00"
"11","VEGETABLES (FRESH)","Pumpkin  ","Kg ","-","-","8.92","-","-","-"
"12","VEGETABLES (FRESH)","Green Peas","Kg ","-","-","30.00","-","-","-"
"13","VEGETABLES (FRESH)","Beet Root","Kg ","7.81","10.87","10.00","14.33","-","10.00"
"14","VEGETABLES (FRESH)","Cauliflower","Kg ","-","-","-","-","-","-"
"15","FRUITS FRESH","Banana","Kg ","15.64","12.00","15.00","20.00","9.68","12.12"
"16","FRUITS FRESH","Orange","Kg ","-","15.00","25.00","-","-","-"
"17","FRUITS FRESH","Lemon","Kg ","18.82","27.35","20.00","30.00","26.14","15.42"
"18","FRUITS FRESH","Tangerine","Kg ","-","10.00","-","-","-","-"
"19","FRUITS FRESH","Papaya","Kg ","-","25.00","18.03","-","11.94","-"
"20","FRUITS FRESH","Grapes","Kg ","-","-","-","-","-","-"
"21","FRUITS FRESH","Avocado","Kg ","-","-","15.00","-","-","19.23"
"22","FRUITS FRESH","Mango","Kg ","20.00","10.00","14.30","20.00","13.89","17.86"
"23","FRUITS FRESH","Cactus","Kg ","-","-","-","-","-","-"
"1","SPICES","Pepper Whole","Kg ","-","-","33.00","-","-","-"
"2","SPICES","Black Pepper(Local)","Kg ","-","-","209.84","-","-","-"
"3","SPICES","Long Pepper(Local)","Kg ","-","-","73.29","-","-","-"
"4","SPICES","White Cumin(Bishop's Weed)Local","Kg ","-","-","-","-","70.00","45.00"
"5","SPICES","Black Cumin(Local)","Kg ","-","-","-","-","70.00","45.00"
"6","SPICES","Ginger Dry(Local)","Kg ","-","40.00","32.65","-","50.00","35.00"
"7","SPICES","Ginger Wet(Local)","Kg ","-","-","15.00","-","-","12.00"
"8","SPICES","Cloves(Imported)","Kg ","-","-","350.00","-","222.49","-"
"9","SPICES","Cinnamon(Imported)","Kg ","-","-","73.19","-","70.99","-"
"10","SPICES","Cardamon(Local)","Kg ","-","130.00","120.00","-","-","116.57"
"11","SPICES","Tumeric Flour(Local)","Kg ","-","-","17.33","-","-","30.00"
"12","SPICES","Chillies Whole","Kg ","-","-","55.00","80.00","-","-"
"13","SPICES","Basil Dry","Kg ","-","-","30.00","-","-","40.00"
"14","POTATOES, OTHER TUBERS AND STEMS","Potato","Kg ","7.00","7.00","7.00","10.00","7.65","6.00"
"15","POTATOES, OTHER TUBERS AND STEMS","Sweet Potato","Kg ","-","-","6.41","-","10.00","5.00"
"16","POTATOES, OTHER TUBERS AND STEMS","'Kocho' (Unprocessed)","Kg ","-","-","-","-","-","-"
"17","POTATOES, OTHER TUBERS AND STEMS","'Bula'","Kg ","-","-","-","-","-","17.29"
"18","POTATOES, OTHER TUBERS AND STEMS","Tea Leaves(Local)","100gm ","12.50","10.00","12.50","12.50","8.00","-"
"19","POTATOES, OTHER TUBERS AND STEMS","Coffee Whole","Kg ","-","-","-","-","50.00","75.00"
"20","POTATOES, OTHER TUBERS AND STEMS","Coffee Beans","Kg ","100.00","100.00","71.63","100.00","88.30","51.61"
"21","POTATOES, OTHER TUBERS AND STEMS","Coffee Leaves","Kg ","17.71","17.71","20.65","-","-","-"
"22","POTATOES, OTHER TUBERS AND STEMS","Buck Thorn Leaves","Kg ","-","-","18.39","-","-","-"
"23","POTATOES, OTHER TUBERS AND STEMS","'Chat'","Kg ","83.04","55.88","87.05","71.00","-","47.06"
"1","P R I C E   I N    B I R R","Malt-Barley","Kg ","-","-","-","-","-","-"
"2","P R I C E   I N    B I R R","Malt-Wheat","Kg ","-","-","-","-","-","-"
"3","OTHER FOOD ITEMS","Salt","Kg ","5.00","5.00","8.00","-","6.00","7.00"
"4","OTHER FOOD ITEMS","Sugar","Kg ","-","-","17.00","16.00","20.00","22.00"
"5","OTHER FOOD ITEMS","Honey","Kg ","100.00","-","116.57","-","-","-"
"6","OTHER FOOD ITEMS","Canned Tomato (Local)","410gm ","-","-","-","-","-","41.00"
"7","OTHER FOOD ITEMS","Dry Yeast(Baking powder)","350gm ","-","87.50","-","-","-","-"
"8","FOOD TAKEN AWAY FROM HOME","Cup of Tea","No ","1.00","1.00","3.00","2.00","3.00","2.00"
"9","FOOD TAKEN AWAY FROM HOME","Cup of Coffee","No ","2.50","1.50","4.00","3.00","3.00","4.31"
"10","FOOD TAKEN AWAY FROM HOME","Cup of Milk","No ","-","-","4.00","-","3.00","5.00"
"11","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebere'","One Meal ","25.00","-","23.21","25.00","30.00","30.00"
"12","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebeg/Yefyel'","One Meal ","-","25.00","30.00","25.00","30.00","31.58"
"13","FOOD TAKEN AWAY FROM HOME","'Yebeg Tibs'","One Meal ","-","30.00","31.58","30.00","40.00","35.65"
"14","FOOD TAKEN AWAY FROM HOME","'Fasting Meal Without fish","One Meal ","10.00","10.00","19.31","13.00","15.00","15.33"
"15","FOOD TAKEN AWAY FROM HOME","'Yebeg Kikil'","One Meal ","-","-","26.57","25.00","-","30.00"
"16","COST OF MILLING","Cereals","100Kg ","50.00","30.00","50.00","-","-","50.00"
"17","COST OF MILLING","Pulses","100Kg ","-","25.00","50.00","-","-","50.00"
"18","COST OF MILLING","Pepper Whole","100Kg ","-","150.00","200.00","-","-","-"
"1","BEVERAGES - NON ALCOHOLIC","Ambo Mineral Water","500cc ","-","-","-","-","12.00","8.00"
"2","BEVERAGES - NON ALCOHOLIC","Mineral Water","Lt ","-","8.00","9.00","8.00","10.00","10.00"
"3","BEVERAGES - NON ALCOHOLIC","Coca Cola/Fanta","300cc ","6.00","6.00","6.00","8.00","10.00","8.00"
"4","BEVERAGES - NON ALCOHOLIC","Pepsi Cola/Mirinda","300cc ","-","-","-","8.00","10.00","8.00"
"5","BEVERAGES - ALCOHOLIC","Araki (Local)","900cc ","-","85.00","67.00","75.00","-","64.81"
"6","BEVERAGES - ALCOHOLIC","Cognac (Local)","900cc ","-","-","67.00","-","-","-"
"7","BEVERAGES - ALCOHOLIC","Brandy (Local)","900cc ","-","-","67.00","-","-","-"
"8","BEVERAGES - ALCOHOLIC","Gin (Local)","900cc ","-","-","67.00","75.00","100.00","70.00"
"9","BEVERAGES - ALCOHOLIC","Saris Wine (Normal)","750cc ","-","-","48.27","50.00","-","43.27"
"10","BEVERAGES - ALCOHOLIC","'Katikalla'","Lt ","-","40.66","39.33","50.56","50.56","33.71"
"11","BEVERAGES - ALCOHOLIC","Beer (Bedele)","330cc ","-","-","-","-","13.00","11.29"
"12","BEVERAGES - ALCOHOLIC","Beer (Harar)","330cc ","10.00","8.00","10.66","10.00","13.49","10.66"
"13","BEVERAGES - ALCOHOLIC","Beer (Meta Abo)","330cc ","-","-","12.00","-","-","11.00"
"14","BEVERAGES - ALCOHOLIC","'Tella'","Lt ","-","4.71","-","-","-","-"
"15","BEVERAGES - ALCOHOLIC","'Tej' (Mead)","Lt ","-","-","7.69","-","6.74","10.00"
"16","CIGARETTES","Nyala","Packet ","-","10.00","13.00","-","13.33","10.00"
"17","CIGARETTES","Gissila","Packet ","-","-","-","-","-","-"
"18","CIGARETTES","Rothmans/England/","Packet ","-","-","16.00","-","-","-"
"19","CIGARETTES","Marlboro","Packet ","-","-","25.00","-","-","-"
"1","TOBACCO","'Gaya'","Kg ","-","-","-","-","-","-"
"2","CLOTHING","Abujedid(Akaki/Bahir Dar)91cm","Meter ","-","20.00","32.00","-","-","20.00"
"3","CLOTHING","Abujedid(Komb",")150cm Meter ","-","-","36.00","-","-","25.00"
"4","CLOTHING","Khaki(S-10,000 Twil)150cm","Meter ","-","-","-","-","-","-"
"5","CLOTHING","Khaki(Akaki)","Meter ","-","-","-","-","-","-"
"6","CLOTHING","Wool-England 100%","Meter ","-","-","-","-","-","-"
"7","CLOTHING","Tetron(A","Meter ","-","-","-","-","-","-"
