"Regions","CATEGORY","ITEM","UNIT","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","AFAR","AFAR","AFAR","AFAR"
"Markets","CATEGORY","ITEM","UNIT","Enda- silase ","Enda- baguna ","Adwa","Axum","Adigrat","Wukiro","Mai- chew ","Mekelle","Ayisaeta","Dubti","Melka Werers ","Sebat killo "
"16","OILS AND FATS","Vegetable Butter(Sheno & Shady)","Kg ","83.30","-","-","100.73","85.00","96.26","100.00","94.07","88.89","88.89","87.00","83.70"
"1","VEGETABLES (FRESH)","Ethiopian Kale","Kg ","11.18","-","-","-","-","-","-","-","14.72","8.62","9.30","10.69"
"2","VEGETABLES (FRESH)","Cabbage","Kg ","4.64","5.65","4.00","4.00","3.16","2.46","2.99","4.83","15.99","9.22","15.59","6.78"
"3","VEGETABLES (FRESH)","Lettuce","Kg ","14.29","9.53","5.22","5.47","5.65","15.38","10.15","15.00","19.26","15.54","-","11.69"
"4","VEGETABLES (FRESH)","Spinach","Kg ","5.56","6.06","3.64","2.58","4.64","3.72","4.45","6.00","11.36","8.00","-","9.34"
"5","VEGETABLES (FRESH)","Carrot","Kg ","6.00","8.00","7.00","7.32","5.00","4.64","5.00","8.00","8.00","10.00","-","15.33"
"6","VEGETABLES (FRESH)","Tomatoes","Kg ","30.65","25.00","25.66","25.00","19.31","20.00","25.00","25.00","20.00","20.00","29.32","29.32"
"7","VEGETABLES (FRESH)","Onions","Kg ","14.66","14.33","11.66","12.00","12.00","13.00","10.97","11.00","14.00","14.00","12.32","15.66"
"8","VEGETABLES (FRESH)","Garlics","Kg ","26.57","30.00","20.00","18.98","16.00","14.33","25.00","20.00","27.32","25.00","26.57","20.98"
"9","VEGETABLES (FRESH)","Leaks","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"10","VEGETABLES (FRESH)","Pepper Green","Kg ","23.31","30.00","18.64","20.30","20.00","12.66","29.32","19.66","26.96","30.00","21.54","20.98"
"11","VEGETABLES (FRESH)","Pumpkin  ","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"12","VEGETABLES (FRESH)","Green Peas","Kg ","-","-","-","-","-","-","-","16.00","-","-","-","18.29"
"13","VEGETABLES (FRESH)","Beet Root","Kg ","10.63","10.00","7.00","10.00","14.33","6.65","8.00","8.00","6.00","10.00","-","10.00"
"14","VEGETABLES (FRESH)","Cauliflower","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"15","FRUITS FRESH","Banana","Kg ","12.00","12.00","12.00","10.97","12.00","12.00","12.00","12.00","16.00","16.94","12.32","12.66"
"16","FRUITS FRESH","Orange","Kg ","18.64","-","14.49","25.00","20.00","20.00","-","24.33","-","18.00","-","20.00"
"17","FRUITS FRESH","Lemon","Kg ","8.62","13.83","-","7.19","11.29","11.15","7.00","12.32","17.71","30.00","11.78","24.66"
